image,missing_fraction,NRMSE,PSNR
0026.png,0.4,0.0705526492754266,23.029733474026408
0026.png,0.6,0.1059645510062544,19.496787954559256
0027.png,0.2,0.0291300830398964,30.713165546912894
0027.png,0.4,0.0480922223144845,26.358503079185915
0027.png,0.6,0.0726176309469944,22.77915846936315
0028.png,0.2,0.0297934501977785,30.517584017543395
0028.png,0.4,0.0486420433313114,26.25976379441279
0028.png,0.6,0.0716382535434687,22.89710020567278
0029.png,0.2,0.0195318423404553,34.18513579931532
0029.png,0.4,0.0318212307038745,29.94566055565824
0029.png,0.6,0.0511517900793665,25.82278326719369
0003.png,0.2,0.0214441980698679,33.373803801128766
0003.png,0.4,0.0362783137301494,28.80705815589426
0003.png,0.6,0.0562772895542704,24.99333654740756
0030.png,0.2,0.0268882883717611,31.40873685576337
0030.png,0.4,0.0450259710432504,26.930738245714217
0030.png,0.6,0.0664696202333926,23.54753605021694
0031.png,0.2,0.0136114183599761,37.321932347048815
0031.png,0.4,0.0233514586852014,32.63371970739877
0031.png,0.6,0.0364213784364247,28.772872430566995
0032.png,0.2,0.012795746297789,37.858687585829465
0032.png,0.4,0.02219870632648,33.07344668363749
0032.png,0.6,0.0336271059037476,29.46621016730685
0033.png,0.2,0.0571649183222511,24.85740825391132
0033.png,0.4,0.0921010466373791,20.714708688949976
0033.png,0.6,0.1320044483204606,17.588228671568015
0034.png,0.2,0.0127803263389185,37.86916113109215
0034.png,0.4,0.0214188771415584,33.384066005290705
0034.png,0.6,0.0319811604568012,29.902115633032984
0035.png,0.2,0.0476209752873583,26.444034287996715
0035.png,0.4,0.0773984543294711,22.22535424445178
0035.png,0.6,0.1142611225794563,18.842030268966692
0036.png,0.2,0.0263659323755499,31.5791373230648
0036.png,0.4,0.0422988574189417,27.473427273468705
0036.png,0.6,0.0642829301441231,23.83808670898256
0037.png,0.2,0.0309486406330075,30.18716843759386
0037.png,0.4,0.049522985837858,26.10386357466445
0037.png,0.6,0.0724814374452047,22.795464047151867
0038.png,0.2,0.0097085990211031,40.25686871039128
0038.png,0.4,0.0159080410278097,35.9676659522522
