image,sparsity,MSE,NMSE,PSNR
0048.png,0.4,1427.6696188045935,0.021955703480270566,16.58452643155127
0048.png,0.6,3705.41016580417,0.05698439316884537,12.442440722000773
0049.png,0.2,165.92785517923417,0.002551754789376919,25.931610614309268
0049.png,0.4,775.4515141761774,0.011925436588637869,19.235257125339295
0049.png,0.6,2435.2932974389355,0.03745164625050266,14.265290873958813
0050.png,0.2,163.98323244433155,0.0025218490187517346,25.98280917876251
0050.png,0.4,2222.1461199732307,0.03417371964587821,14.663077477519867
0050.png,0.6,6915.396080925033,0.10634980516609047,9.732633013923692
0051.png,0.2,415.5209930943291,0.0063901729041803785,21.94487390618513
0051.png,0.4,2799.6017471167524,0.043054236787647096,13.659841050010549
0051.png,0.6,7846.46302692101,0.1206684048738333,9.184064282057472
0052.png,0.2,318.3580344075286,0.004895932862860878,23.101645462319734
0052.png,0.4,1362.7999407435414,0.020958092129850694,16.78648254855805
0052.png,0.6,3526.1525063106255,0.05422764331119762,12.657792692356178
0053.png,0.2,287.46611129812226,0.004420855229498227,23.54493706776892
0053.png,0.4,3741.1582243909615,0.05753415185530122,12.400742847128011
0053.png,0.6,10678.58501312195,0.16422276067853825,7.845666514062211
0054.png,0.2,77.97375198205967,0.0011991349785783877,29.211319285338536
0054.png,0.4,1156.9618507882642,0.017792569792976,17.497613219380245
0054.png,0.6,4732.099659048268,0.07277354339174576,11.380264784794365
0055.png,0.2,226.6002525918249,0.0034848174177904635,24.578199712312
0055.png,0.4,1427.566331911475,0.02195411506207574,16.584840639753523
0055.png,0.6,4483.908138933985,0.0689566803373162,11.614236541712744
0056.png,0.2,237.71296507460457,0.003655716494803607,24.37027491689983
0056.png,0.4,1059.1545335983803,0.016288420355223075,17.88121031362112
0056.png,0.6,2914.1952672824123,0.04481653621349346,13.485617123145047
0057.png,0.2,629.7687294075282,0.009685024673702856,20.1389926852883
0057.png,0.4,2475.6574945335865,0.03807239514853651,14.193898006988352
0057.png,0.6,6250.400775049894,0.09612304152325865,10.171724957138577
0058.png,0.2,61.87328508557735,0.0009515307202703168,30.21577185907165
0058.png,0.4,226.097944672994,0.0034770925747480814,24.587837464271693
0058.png,0.6,697.183716792822,0.010721779573899607,19.697331255590523
0059.png,0.2,31.77931805991155,0.0004887246145315117,33.10935787253787
0059.png,0.4,549.84293428169,0.008455869808253594,20.728417123127784
0059.png,0.6,3093.7064885416808,0.04757718552159448,13.2260125268534
0060.png,0.2,42.67080991200543,0.0006562216057209601,31.82949474817207
0060.png,0.4,324.41635209166776,0.004989101916057943,23.019776243170828
0060.png,0.6,1442.3858390795863,0.02218201982436888,16.53998910908268
0061.png,0.2,24.81730661693067,0.00038165792567367425,34.18325714441556
0061.png,0.4,180.16069619955294,0.00277063738868978,25.574203094382213
0061.png,0.6,1258.9804206699855,0.0193614828246057,17.130613847402735
0062.png,0.2,41.7660284824664,0.0006423072430982914,31.922571805549733
0062.png,0.4,164.94093652985202,0.0025365772630503965,25.9575190472233
0062.png,0.6,566.4703114760157,0.008711577262222464,20.59903207303993
0063.png,0.2,23.681236140161573,0.0003641866380647685,34.38675992426857
0063.png,0.4,155.45736086158445,0.002390732193180845,26.214690702823077
0063.png,0.6,708.5843219696734,0.010897106066430963,19.626888218989535
0064.png,0.2,93.00993011575267,0.001430371858758211,28.445510428058803
0064.png,0.4,490.0712469677868,0.007536658930684918,21.22821138154388
0064.png,0.6,1559.9934045725397,0.023990671350596536,16.19957598644094
0065.png,0.2,203.57451316508127,0.003130711467359958,25.043569559881842
0065.png,0.4,887.7888970096294,0.013653039554165773,18.647706515793317
0065.png,0.6,2657.8737184940915,0.04087464388303101,13.88546018070086
0066.png,0.2,157.18668536281413,0.0024173269567522356,26.166646049047007
0066.png,0.4,906.9193527225862,0.013947241103000172,18.555116914757196
0066.png,0.6,2885.7379860183314,0.04437890020789437,13.528234645997516
0067.png,0.2,549.4169953177825,0.008449319420496463,20.73178271384804
0067.png,0.4,3001.151756409711,0.04615381401629698,13.357924043284374
0067.png,0.6,7706.932855480976,0.11852261215657019,9.261987855358694
